,sex,age,marital_status,number_of_dependants,annual_income,account_type,credit_limit,number_of_accounts,months_since_openning,outstanding_balance,utilisation_ratio,total_amount_of_transactions,total_number_of_transactions,number_of_contacts_over_12_months,months_inactive_over_12_months,Predicted
0,F,44,Married,2,Less than $50K,Silver,1924.0,5,30,1471,0.765,3521,58,3,2,0
1,F,56,Single,2,Less than $50K,Silver,3495.0,4,42,1427,0.408,4466,85,2,2,0
2,M,56,Single,3,$70K - $90K,Silver,1891.0,1,46,1134,0.6,5255,77,2,2,0
3,M,55,Single,3,$70K - $90K,Silver,1602.0,3,47,962,0.6,4873,97,2,2,0
4,F,52,Divorced,2,Less than $50K,Silver,2427.0,6,32,1581,0.651,3857,69,4,3,0
5,F,56,Single,3,Unknown,Silver,1816.0,6,43,1052,0.579,4175,65,3,1,0
6,M,57,Married,0,$90K - $110K,Silver,2564.0,4,52,2379,0.928,1343,35,4,6,0
7,F,39,Single,4,Less than $50K,Silver,1438.3,5,28,0,0.0,2392,44,4,2,1
8,M,45,Married,3,$50K - $70K,Silver,7979.0,1,40,0,0.0,5056,63,3,4,1
9,F,47,Married,2,Less than $50K,Silver,2780.0,1,36,2216,0.797,4980,78,3,3,0
10,F,39,Married,3,$50K - $70K,Silver,5027.0,1,21,0,0.0,4850,70,1,2,0
11,F,56,Married,2,Unknown,Silver,5335.0,3,36,996,0.187,1454,43,2,3,0
12,M,26,Single,0,Unknown,Silver,1438.3,4,19,0,0.0,2005,47,2,1,0
13,M,57,Single,2,$110K and Over,Gold,34516.0,6,51,1417,0.041,4303,77,4,3,0
14,M,46,Divorced,2,$70K - $90K,Silver,3299.0,3,39,870,0.264,4904,75,1,1,0
15,F,45,Single,3,Less than $50K,Silver,2976.0,2,34,2372,0.797,4799,83,2,3,0
16,M,28,Single,1,$70K - $90K,Silver,16604.0,6,18,1716,0.103,2580,61,2,3,0
17,F,46,Single,3,Unknown,Silver,29543.0,4,34,1164,0.039,1015,27,3,3,0
18,M,53,Married,1,$50K - $70K,Silver,4426.0,3,43,1530,0.346,1231,34,2,1,0
